Time,Open,High,Low,Close,Vol
1643035500000,33709.58,33833.0,33460.2,33622.71,1214.6773
1643036400000,33622.7,33792.49,33222.74,33457.53,1354.92497
1643037300000,33457.52,34059.41,33333.0,33881.53,1334.36848
1643038200000,33881.52,34314.49,33867.0,34261.89,1565.61389
1643039100000,34261.9,34388.38,34007.59,34233.95,838.12074
1643040000000,34237.31,34238.4,33970.89,34191.47,983.00812
1643040900000,34184.76,34498.78,34157.59,34449.67,1463.73814
1643041800000,34445.2,34576.01,34040.0,34104.15,1290.53627
1643042700000,34102.96,34433.53,33803.13,34417.76,1354.91917
1643043600000,34417.75,34452.45,34183.59,34297.15,1360.37288
1643044500000,34296.9,34788.52,34164.58,34646.53,1204.86176
1643045400000,34646.53,35388.52,34567.18,35288.6,2464.4479
1643046300000,35279.05,35535.69,35200.0,35363.1,1452.89749
1643047200000,35363.11,36000.0,35190.13,35895.52,2256.26852
1643048100000,35891.91,36245.04,35731.62,35760.91,1819.91057
1643049000000,35760.91,36017.8,35750.0,35929.31,1049.05074
1643049900000,35927.09,36436.0,35923.41,36179.99,1773.63168
1643050800000,36179.99,36340.54,35918.34,35934.81,1065.80667
1643051700000,35934.81,36000.0,35747.0,35859.33,966.55715
1643052600000,35859.33,36034.84,35652.04,35774.16,595.70995
1643053500000,35774.16,36110.02,35667.12,36066.4,715.81503
1643054400000,36066.4,36258.37,35951.13,36220.07,732.14706
1643055300000,36220.07,36341.58,35982.32,36090.09,895.12671
1643056200000,36092.2,36631.21,35999.46,36392.32,1442.84707
1643057100000,36392.32,37550.0,36382.31,37220.05,2800.32998
1643058000000,37218.56,37264.93,36798.07,36900.0,1100.22005
1643058900000,36900.01,37079.89,36819.99,36889.95,567.95461
1643059800000,36896.26,37072.31,36836.05,36875.04,492.84571
1643060700000,36875.05,36916.14,36711.0,36805.22,432.79269
1643061600000,36807.92,36815.68,36603.35,36787.07,497.05895
1643062500000,36783.43,36842.95,36485.0,36566.11,396.8323
1643063400000,36566.12,36579.49,36187.99,36476.88,607.70036
1643064300000,36476.94,36480.74,36335.57,36369.44,285.96426
1643065200000,36369.43,36568.75,36355.29,36529.0,378.43163
1643066100000,36529.0,36700.0,36486.66,36536.05,396.299
1643067000000,36536.05,36741.54,36450.0,36682.77,304.17292
1643067900000,36682.78,36767.09,36616.24,36660.35,312.65482
1643068800000,36660.35,36691.87,36391.65,36496.76,671.00187
1643069700000,36496.75,36660.44,36207.05,36272.41,583.89086
1643070600000,36277.82,36379.24,36265.26,36337.97,408.1475
1643071500000,36337.96,36387.29,36012.01,36037.58,653.41498
1643072400000,36038.09,36170.45,35965.95,35995.61,530.61552
1643073300000,35995.61,36196.14,35955.43,36120.7,418.49686
1643074200000,36120.7,36174.65,36016.37,36023.0,296.54787
1643075100000,36023.01,36152.14,36016.37,36125.31,230.616
1643076000000,36125.31,36256.04,36084.85,36187.56,370.55157
1643076900000,36187.56,36234.37,36085.2,36159.51,222.10953
1643077800000,36159.51,36232.93,36140.0,36165.38,369.46287
1643078700000,36165.39,36335.48,36165.38,36317.27,257.48104
1643079600000,36317.26,36328.0,36166.44,36198.4,259.95772
1643080500000,36198.4,36275.34,36181.22,36257.13,216.37025
1643081400000,36257.13,36436.11,36257.13,36334.99,530.08734
1643082300000,36338.65,36460.03,36270.0,36424.49,236.77041
1643083200000,36424.5,36496.62,36352.0,36373.2,266.05441
1643084100000,36374.01,36414.66,36331.0,36396.61,238.65924
1643085000000,36396.6,36409.06,36147.87,36195.64,312.89455
1643085900000,36195.64,36195.64,35869.39,35950.0,567.94945
1643086800000,35950.01,36110.81,35912.22,36090.21,277.3526
1643087700000,36090.21,36096.69,35829.21,35857.31,380.00324
